lat,long,name,status,stream
35.83431881,-79.81275558,Randleman Dam to Worthville Pond,dam,Deep River
35.83379692,-79.81077075,Randleman Dam to Worthville Pond,free,Deep River
35.83337072,-79.80842113,Randleman Dam to Worthville Pond,free,Deep River
35.83275315,-79.80727315,Randleman Dam to Worthville Pond,free,Deep River
35.83223995,-79.80582476,Randleman Dam to Worthville Pond,free,Deep River
35.83168326,-79.80529904,Randleman Dam to Worthville Pond,free,Deep River
35.83063946,-79.80507374,Randleman Dam to Worthville Pond,free,Deep River
35.83009146,-79.80542779,Randleman Dam to Worthville Pond,free,Deep River
35.82942167,-79.80657578,Randleman Dam to Worthville Pond,free,Deep River
35.82943037,-79.80757356,Randleman Dam to Worthville Pond,free,Deep River
35.83047419,-79.80778813,Randleman Dam to Worthville Pond,free,Deep River
35.83112657,-79.8085928,Randleman Dam to Worthville Pond,free,Deep River
35.83121356,-79.80941892,Randleman Dam to Worthville Pond,free,Deep River
35.830422,-79.81010556,Randleman Dam to Worthville Pond,free,Deep River
35.82936078,-79.8100841,Randleman Dam to Worthville Pond,free,Deep River
35.82632493,-79.80967641,Randleman Dam to Worthville Pond,free,Deep River
35.82566381,-79.80932236,Randleman Dam to Worthville Pond,free,Deep River
35.82563772,-79.80875373,Randleman Dam to Worthville Pond,free,Deep River
35.82615095,-79.80694056,Randleman Dam to Worthville Pond,free,Deep River
35.82582909,-79.80574965,Randleman Dam to Worthville Pond,free,Deep River
35.82408929,-79.80417252,Randleman Dam to Worthville Pond,free,Deep River
35.82219285,-79.80049253,Randleman Dam to Worthville Pond,free,Deep River
35.82139251,-79.79774594,Randleman Dam to Worthville Pond,free,Deep River
35.82051386,-79.79636192,Randleman Dam to Worthville Pond,free,Deep River
35.81853905,-79.79347587,Randleman Dam to Worthville Pond,free,Deep River
35.81750377,-79.79255319,Randleman Dam to Worthville Pond,free,Deep River
35.81568548,-79.79185581,Randleman Dam to Worthville Pond,free,Deep River
35.81558788,-79.79177535,Worthville Pond,pond,Deep River
35.81524422,-79.79118526,Worthville Pond,pond,Deep River
35.81514852,-79.78877664,Worthville Pond,pond,Deep River
35.81483532,-79.78785396,Worthville Pond,pond,Deep River
35.81423066,-79.78772521,Worthville Pond,pond,Deep River
35.81302567,-79.78817582,Worthville Pond,pond,Deep River
35.81238184,-79.78812754,Worthville Pond,pond,Deep River
35.81155285,-79.78710294,Worthville Pond,pond,Deep River
35.81068279,-79.78670597,Worthville Pond,pond,Deep River
35.80783275,-79.78471041,Worthville Pond,pond,Deep River
35.80644059,-79.78265047,Worthville Pond,pond,Deep River
35.80459595,-79.78046179,Worthville Pond,pond,Deep River
35.80329075,-79.7781229,Worthville Pond,pond,Deep River
35.80158525,-79.77689981,Worthville Pond,dam,Deep River
35.80151564,-79.77677107,Cedar Falls Pond,pond,Deep River
35.80057586,-79.77608442,Cedar Falls Pond,pond,Deep River
35.79975789,-79.77554798,Cedar Falls Pond,pond,Deep River
35.79789569,-79.77483988,Cedar Falls Pond,pond,Deep River
35.79775646,-79.77423906,Cedar Falls Pond,pond,Deep River
35.79787828,-79.7729516,Cedar Falls Pond,pond,Deep River
35.79678182,-79.77059126,Cedar Falls Pond,pond,Deep River
35.79594642,-79.77069855,Cedar Falls Pond,pond,Deep River
35.79572016,-79.77174997,Cedar Falls Pond,pond,Deep River
35.79526764,-79.7728014,Cedar Falls Pond,pond,Deep River
35.79427557,-79.7726512,Cedar Falls Pond,pond,Deep River
35.79298761,-79.77297306,Cedar Falls Pond,pond,Deep River
35.79169962,-79.77310181,Cedar Falls Pond,pond,Deep River
35.78811404,-79.77185726,Cedar Falls Pond,pond,Deep River
35.78423237,-79.7712779,Cedar Falls Pond,pond,Deep River
35.77993273,-79.77166414,Cedar Falls Pond,pond,Deep River
35.77608548,-79.76992607,Cedar Falls Pond,pond,Deep River
35.7747624,-79.77044106,Cedar Falls Pond,pond,Deep River
35.77248178,-79.77293015,Cedar Falls Pond,pond,Deep River
35.76908684,-79.77385283,Cedar Falls Pond,pond,Deep River
35.76793775,-79.77473259,Cedar Falls Pond,pond,Deep River
35.76671901,-79.77473259,Cedar Falls Pond,pond,Deep River
35.76499531,-79.77389574,Cedar Falls Pond,pond,Deep River
35.76407252,-79.77256536,Cedar Falls Pond,pond,Deep River
35.76318453,-79.77190018,Cedar Falls Pond,pond,Deep River
35.76194829,-79.7718358,Cedar Falls Pond,pond,Deep River
35.76086875,-79.77147102,Cedar Falls Pond,pond,Deep River
35.75991108,-79.76805925,Cedar Falls Pond,pond,Deep River
35.76003297,-79.76632118,Cedar Falls Pond,pond,Deep River
35.7600969,-79.76212621,Cedar Falls Pond,pond,Deep River
35.75847754,-79.75981414,Cedar Falls Pond,pond,Deep River
35.75687121,-79.75915968,Cedar Falls Pond,pond,Deep River
35.75621822,-79.75827992,Cedar Falls Pond,pond,Deep River
35.75636188,-79.7568959,Cedar Falls Pond,pond,Deep River
35.75820329,-79.75451946,Cedar Falls Pond,pond,Deep River
35.75789857,-79.75244343,Cedar Falls Pond,dam,Deep River
35.7579738,-79.75234687,Central Falls Dam to Cedar Falls Pond,free,Deep River
35.75795421,-79.75213766,Central Falls Dam to Cedar Falls Pond,free,Deep River
35.75792156,-79.75178361,Central Falls Dam to Cedar Falls Pond,free,Deep River
35.75796945,-79.7513786,Central Falls Dam to Cedar Falls Pond,free,Deep River
35.75797162,-79.75114793,Central Falls Dam to Cedar Falls Pond,free,Deep River
35.75884443,-79.75010723,Central Falls Dam to Cedar Falls Pond,free,Deep River
35.75884878,-79.74980146,Central Falls Dam to Cedar Falls Pond,free,Deep River
35.75873996,-79.74931329,Central Falls Dam to Cedar Falls Pond,free,Deep River
35.75853971,-79.74860787,Central Falls Dam to Cedar Falls Pond,free,Deep River
35.75848326,-79.74851131,Cedar Falls Pond,pond,Deep River
35.75822207,-79.74758863,Cedar Falls Pond,pond,Deep River
35.7579957,-79.74726677,Cedar Falls Pond,pond,Deep River
35.75743849,-79.74715948,Cedar Falls Pond,pond,Deep River
35.75655043,-79.74741697,Cedar Falls Pond,pond,Deep River
35.75580167,-79.74737406,Cedar Falls Pond,pond,Deep River
35.75433894,-79.74703074,Cedar Falls Pond,pond,Deep River
35.7531374,-79.74542141,Cedar Falls Pond,pond,Deep River
35.75268464,-79.74492788,Cedar Falls Pond,pond,Deep River
35.75146566,-79.74439144,Cedar Falls Pond,pond,Deep River
35.75064719,-79.74359751,Cedar Falls Pond,pond,Deep River
35.75001891,-79.74196136,Cedar Falls Pond,pond,Deep River
35.7497098,-79.74119961,Cedar Falls Pond,pond,Deep River
35.74962273,-79.7405237,Cedar Falls Pond,pond,Deep River
35.74967062,-79.73968685,Cedar Falls Pond,pond,Deep River
35.74978816,-79.73938644,Cedar Falls Pond,pond,Deep River
35.75012339,-79.73878562,Cedar Falls Pond,pond,Deep River
35.7506197,-79.73814726,Cedar Falls Pond,dam,Deep River
35.75069372,-79.73804533,Cedar Falls Dam to Franklinville,free,Deep River
35.75157313,-79.73699391,Cedar Falls Dam to Franklinville,free,Deep River
35.75170374,-79.73660231,Cedar Falls Dam to Franklinville,free,Deep River
35.75168633,-79.73633945,Cedar Falls Dam to Franklinville,free,Deep River
35.75126403,-79.73516464,Cedar Falls Dam to Franklinville,free,Deep River
35.75121179,-79.73480523,Cedar Falls Dam to Franklinville,free,Deep River
35.75125533,-79.73451018,Cedar Falls Dam to Franklinville,free,Deep River
35.75150783,-79.73356605,Cedar Falls Dam to Franklinville,free,Deep River
35.75150348,-79.7327131,Cedar Falls Dam to Franklinville,free,Deep River
35.75132498,-79.7320962,Cedar Falls Dam to Franklinville,free,Deep River
35.75102459,-79.73154902,Cedar Falls Dam to Franklinville,free,Deep River
35.75043685,-79.73089993,Cedar Falls Dam to Franklinville,free,Deep River
35.75002013,-79.73052979,Cedar Falls Dam to Franklinville,free,Deep River
35.74895566,-79.72935766,Cedar Falls Dam to Franklinville,free,Deep River
35.74837227,-79.72863346,Cedar Falls Dam to Franklinville,free,Deep River
35.74810234,-79.72800314,Cedar Falls Dam to Franklinville,free,Deep River
35.74800873,-79.72768664,Cedar Falls Dam to Franklinville,free,Deep River
35.74775186,-79.72684979,Cedar Falls Dam to Franklinville,free,Deep River
35.74757118,-79.72639114,Cedar Falls Dam to Franklinville,free,Deep River
35.74739703,-79.72595394,Cedar Falls Dam to Franklinville,free,Deep River
35.74729036,-79.72585738,Cedar Falls Dam to Franklinville,free,Deep River
35.74703567,-79.72554356,Cedar Falls Dam to Franklinville,free,Deep River
35.74678533,-79.72507149,Cedar Falls Dam to Franklinville,free,Deep River
35.74637389,-79.72447604,Cedar Falls Dam to Franklinville,free,Deep River
35.74590803,-79.72368479,Cedar Falls Dam to Franklinville,free,Deep River
35.74577741,-79.72351849,Cedar Falls Dam to Franklinville,free,Deep River
35.74495453,-79.72240806,Cedar Falls Dam to Franklinville,free,Deep River
35.74441465,-79.72158462,Cedar Falls Dam to Franklinville,free,Deep River
35.74381598,-79.72068608,Cedar Falls Dam to Franklinville,free,Deep River
35.74363747,-79.7202006,Cedar Falls Dam to Franklinville,free,Deep River
35.74350685,-79.71999943,Cedar Falls Dam to Franklinville,free,Deep River
35.743152,-79.71942544,Cedar Falls Dam to Franklinville,free,Deep River
35.74228337,-79.71825331,Cedar Falls Dam to Franklinville,free,Deep River
35.74208962,-79.71780539,Cedar Falls Dam to Franklinville,free,Deep River
35.74204172,-79.71724749,Cedar Falls Dam to Franklinville,free,Deep River
35.74177612,-79.71597075,Cedar Falls Dam to Franklinville,free,Deep River
35.74193505,-79.71456528,Cedar Falls Dam to Franklinville,free,Deep River
35.74203737,-79.71429169,Cedar Falls Dam to Franklinville,free,Deep River
35.74224854,-79.71401811,Cedar Falls Dam to Franklinville,free,Deep River
35.74250978,-79.71393764,Cedar Falls Dam to Franklinville,free,Deep River
35.74273619,-79.71389741,Cedar Falls Dam to Franklinville,free,Deep River
35.74283266,-79.7138679,Franklinville Pond,pond,Deep River
35.74305907,-79.71367478,Franklinville Pond,pond,Deep River
35.74338126,-79.71368551,Franklinville Pond,pond,Deep River
35.743747,-79.7137928,Franklinville Pond,pond,Deep River
35.74418239,-79.71365333,Franklinville Pond,pond,Deep River
35.74533182,-79.71216202,Franklinville Pond,pond,Deep River
35.74540734,-79.71094161,Franklinville Pond,pond,Deep River
35.74527672,-79.70908284,Franklinville Pond,pond,Deep River
35.74546611,-79.70724821,Franklinville Pond,pond,Deep River
35.74543781,-79.70697731,Franklinville Pond,pond,Deep River
35.74504814,-79.70613778,Franklinville Pond,pond,Deep River
35.74479344,-79.70582664,Franklinville Pond,pond,Deep River
35.7442209,-79.70474839,Franklinville Pond,pond,Deep River
35.74380872,-79.70353845,Franklinville Pond,pond,Deep River
35.74355619,-79.70302079,Franklinville Pond,dam,Deep River
35.74347415,-79.70308437,Franklinville to Ramseur Pond,free,Deep River
35.7423421,-79.70176472,Franklinville to Ramseur Pond,free,Deep River
35.74168029,-79.70064892,Franklinville to Ramseur Pond,free,Deep River
35.74179349,-79.6998228,Franklinville to Ramseur Pond,free,Deep River
35.74228115,-79.69891085,Franklinville to Ramseur Pond,free,Deep River
35.74270784,-79.69781651,Franklinville to Ramseur Pond,free,Deep River
35.74289897,-79.69682998,Franklinville to Ramseur Pond,free,Deep River
35.74257677,-79.69446428,Franklinville to Ramseur Pond,free,Deep River
35.74313408,-79.69189472,Franklinville to Ramseur Pond,free,Deep River
35.74312102,-79.69175525,Franklinville to Ramseur Pond,free,Deep River
35.74285107,-79.6912188,Franklinville to Ramseur Pond,free,Deep River
35.74192366,-79.69045706,Franklinville to Ramseur Pond,free,Deep River
35.7414839,-79.68979723,Franklinville to Ramseur Pond,free,Deep River
35.74117911,-79.6887619,Franklinville to Ramseur Pond,free,Deep River
35.74081772,-79.68839712,Franklinville to Ramseur Pond,free,Deep River
35.74071458,-79.68838481,Ramsuer Pond,pond,Deep River
35.73892066,-79.68765525,Ramsuer Pond,pond,Deep River
35.7356288,-79.6833208,Ramsuer Pond,pond,Deep River
35.73468824,-79.68091754,Ramsuer Pond,pond,Deep River
35.73468824,-79.67935113,Ramsuer Pond,pond,Deep River
35.73427021,-79.67692641,Ramsuer Pond,pond,Deep River
35.73277225,-79.67340736,Ramsuer Pond,pond,Deep River
35.73190134,-79.67147617,Ramsuer Pond,pond,Deep River
35.73136136,-79.67102555,Ramsuer Pond,pond,Deep River
35.73075171,-79.66995267,Ramsuer Pond,pond,Deep River
35.7309259,-79.6686223,Ramsuer Pond,pond,Deep River
35.73078655,-79.66697005,Ramsuer Pond,pond,Deep River
35.72961949,-79.6652749,Ramsuer Pond,pond,Deep River
35.72946272,-79.66218499,Ramsuer Pond,pond,Deep River
35.72984593,-79.66151981,Ramsuer Pond,pond,Deep River
35.73068204,-79.66132669,Ramsuer Pond,pond,Deep River
35.73221487,-79.66117648,Ramsuer Pond,pond,Deep River
35.73313804,-79.66057567,Ramsuer Pond,pond,Deep River
35.73369542,-79.65879468,Ramsuer Pond,pond,Deep River
35.73324255,-79.6573141,Ramsuer Pond,pond,Deep River
35.73263291,-79.65707807,Ramsuer Pond,dam,Deep River
35.73251098,-79.65720681,Ramseur Dam to Coleridge pond,free,Deep River
35.73029882,-79.65579061,Ramseur Dam to Coleridge pond,free,Deep River
35.72838273,-79.65501813,Ramseur Dam to Coleridge pond,free,Deep River
35.72742467,-79.65516833,Ramseur Dam to Coleridge pond,free,Deep River
35.7261182,-79.65482501,Ramseur Dam to Coleridge pond,free,Deep River
35.72413233,-79.65343026,Ramseur Dam to Coleridge pond,free,Deep River
35.72216383,-79.65141324,Ramseur Dam to Coleridge pond,free,Deep River
35.7213799,-79.64963226,Ramseur Dam to Coleridge pond,free,Deep River
35.72064822,-79.64954642,Ramseur Dam to Coleridge pond,free,Deep River
35.71927196,-79.65042619,Ramseur Dam to Coleridge pond,free,Deep River
35.71674585,-79.65355901,Ramseur Dam to Coleridge pond,free,Deep River
35.71413254,-79.65428857,Ramseur Dam to Coleridge pond,free,Deep River
35.71308719,-79.6542242,Ramseur Dam to Coleridge pond,free,Deep River
35.71059573,-79.65300111,Ramseur Dam to Coleridge pond,free,Deep River
35.70944579,-79.65179948,Ramseur Dam to Coleridge pond,free,Deep River
35.70918444,-79.64926747,Ramseur Dam to Coleridge pond,free,Deep River
35.70732012,-79.64542655,Ramseur Dam to Coleridge pond,free,Deep River
35.7054209,-79.64379577,Ramseur Dam to Coleridge pond,free,Deep River
35.70336481,-79.64096336,Ramseur Dam to Coleridge pond,free,Deep River
35.70256327,-79.64085607,Ramseur Dam to Coleridge pond,free,Deep River
35.70061075,-79.64209094,Ramseur Dam to Coleridge pond,free,Deep River
35.69863296,-79.64245572,Ramseur Dam to Coleridge pond,free,Deep River
35.69492119,-79.64155449,Ramseur Dam to Coleridge pond,free,Deep River
35.69449424,-79.6405138,Ramseur Dam to Coleridge pond,free,Deep River
35.69485149,-79.64000954,Ramseur Dam to Coleridge pond,free,Deep River
35.69504318,-79.6393229,Ramseur Dam to Coleridge pond,free,Deep River
35.69459009,-79.63769211,Ramseur Dam to Coleridge pond,free,Deep River
35.69333536,-79.63573947,Ramseur Dam to Coleridge pond,free,Deep River
35.69157523,-79.63546052,Ramseur Dam to Coleridge pond,free,Deep River
35.68823784,-79.63406577,Ramseur Dam to Coleridge pond,free,Deep River
35.68722701,-79.63376536,Ramseur Dam to Coleridge pond,free,Deep River
35.68596345,-79.63428034,Ramseur Dam to Coleridge pond,free,Deep River
35.68414216,-79.63399067,Ramseur Dam to Coleridge pond,free,Deep River
35.68328904,-79.63300256,Ramseur Dam to Coleridge pond,free,Deep River
35.68135439,-79.631007,Ramseur Dam to Coleridge pond,free,Deep River
35.67799043,-79.62834624,Ramseur Dam to Coleridge pond,free,Deep River
35.6764295,-79.62851896,Ramseur Dam to Coleridge pond,free,Deep River
35.67452955,-79.62756409,Ramseur Dam to Coleridge pond,free,Deep River
35.67343139,-79.62744608,Ramseur Dam to Coleridge pond,free,Deep River
35.67256854,-79.62729587,Ramseur Dam to Coleridge pond,free,Deep River
35.67033819,-79.62662963,Ramseur Dam to Coleridge pond,free,Deep River
35.66702034,-79.62610013,Ramseur Dam to Coleridge pond,free,Deep River
35.66569981,-79.62529547,Ramseur Dam to Coleridge pond,free,Deep River
35.66558214,-79.62485022,Ramseur Dam to Coleridge pond,free,Deep River
35.66484123,-79.62364323,Ramseur Dam to Coleridge pond,free,Deep River
35.66429645,-79.62258107,Ramseur Dam to Coleridge pond,free,Deep River
35.66281506,-79.62186708,Ramseur Dam to Coleridge pond,free,Deep River
35.66100195,-79.62108388,Ramseur Dam to Coleridge pond,free,Deep River
35.65956364,-79.62013974,Ramseur Dam to Coleridge pond,free,Deep River
35.65842169,-79.62017192,Ramseur Dam to Coleridge pond,free,Deep River
35.65695718,-79.62047233,Ramseur Dam to Coleridge pond,free,Deep River
35.65653002,-79.62107315,Ramseur Dam to Coleridge pond,free,Deep River
35.65657161,-79.62120295,Coleridge pond,pond,Deep River
35.65597882,-79.62195396,Coleridge pond,pond,Deep River
35.65568243,-79.62300539,Coleridge pond,pond,Deep River
35.65582191,-79.62455034,Coleridge pond,pond,Deep River
35.65531629,-79.62575197,Coleridge pond,pond,Deep River
35.65420043,-79.62605238,Coleridge pond,pond,Deep River
35.65006813,-79.62474346,Coleridge pond,pond,Deep River
35.64769675,-79.62253332,Coleridge pond,pond,Deep River
35.64747007,-79.62085962,Coleridge pond,pond,Deep River
35.64631923,-79.61905718,Coleridge pond,pond,Deep River
35.64488937,-79.61920738,Coleridge pond,pond,Deep River
35.64312817,-79.62013006,Coleridge pond,pond,Deep River
35.64084378,-79.6195507,Coleridge pond,pond,Deep River
35.63934407,-79.61746931,Coleridge pond,dam,Deep River
35.63919257,-79.6175766,Coleridge dam to mouth of fork creek,free,Deep River
35.63556524,-79.61234093,Coleridge dam to mouth of fork creek,free,Deep River
35.63465838,-79.61156845,Coleridge dam to mouth of fork creek,free,Deep River
35.63326319,-79.61165428,Coleridge dam to mouth of fork creek,free,Deep River
35.62921701,-79.61362839,Coleridge dam to mouth of fork creek,free,Deep River
35.62733337,-79.61577415,Coleridge dam to mouth of fork creek,free,Deep River
35.62558922,-79.61577415,Coleridge dam to mouth of fork creek,free,Deep River
35.62279851,-79.61362839,Coleridge dam to mouth of fork creek,free,Deep River
35.62147288,-79.6100235,Coleridge dam to mouth of fork creek,free,Deep River
35.62035655,-79.60865021,Coleridge dam to mouth of fork creek,free,Deep River
35.61868202,-79.6077919,Coleridge dam to mouth of fork creek,free,Deep River
35.61707724,-79.60607529,Coleridge dam to mouth of fork creek,free,Deep River
35.61561197,-79.60547447,Coleridge dam to mouth of fork creek,free,Deep River
35.61268135,-79.60538864,Coleridge dam to mouth of fork creek,free,Deep River
35.60995996,-79.60590363,Coleridge dam to mouth of fork creek,free,Deep River
35.60912259,-79.60719109,Coleridge dam to mouth of fork creek,free,Deep River
35.60877369,-79.61053848,Coleridge dam to mouth of fork creek,free,Deep River
35.60786652,-79.6111393,Coleridge dam to mouth of fork creek,free,Deep River
35.60556368,-79.61036682,Coleridge dam to mouth of fork creek,free,Deep River
35.60430756,-79.60899353,Coleridge dam to mouth of fork creek,free,Deep River
35.6003297,-79.60624695,Coleridge dam to mouth of fork creek,free,Deep River
35.59942244,-79.60607529,Coleridge dam to mouth of fork creek,free,Deep River
35.59879433,-79.6066761,Coleridge dam to mouth of fork creek,free,Deep River
35.59642143,-79.60830688,Coleridge dam to mouth of fork creek,free,Deep River
35.59439744,-79.60865021,Coleridge dam to mouth of fork creek,free,Deep River
35.59195461,-79.6066761,Coleridge dam to mouth of fork creek,free,Deep River
35.58965131,-79.60641861,Coleridge dam to mouth of fork creek,free,Deep River
35.58839494,-79.60590363,Coleridge dam to mouth of fork creek,free,Deep River
35.58309003,-79.60066795,Coleridge dam to mouth of fork creek,free,Deep River
35.58232219,-79.60041046,Coleridge dam to mouth of fork creek,free,Deep River
35.5810657,-79.60092545,Coleridge dam to mouth of fork creek,free,Deep River
35.58017022,-79.60178375,Coleridge dam to mouth of fork creek,free,Deep River
35.57748263,-79.60422993,Coleridge dam to mouth of fork creek,free,Deep River
35.57552796,-79.60498095,Coleridge dam to mouth of fork creek,free,Deep River
35.57249116,-79.60491657,Coleridge dam to mouth of fork creek,free,Deep River
35.57118215,-79.60425138,Coleridge dam to mouth of fork creek,free,Deep River
35.56969859,-79.60129023,Coleridge dam to mouth of fork creek,free,Deep River
35.56797064,-79.59955215,Coleridge dam to mouth of fork creek,free,Deep River
35.56552701,-79.59794283,Coleridge dam to mouth of fork creek,free,Deep River
35.56077917,-79.59423065,Coleridge dam to mouth of fork creek,free,Deep River
35.5573054,-79.5921278,Coleridge dam to mouth of fork creek,free,Deep River
35.55222156,-79.58899498,Coleridge dam to mouth of fork creek,free,Deep River
35.55029246,-79.58808303,Coleridge dam to mouth of fork creek,free,Deep River
35.54894818,-79.58761096,Coleridge dam to mouth of fork creek,free,Deep River
35.54686188,-79.58611965,Coleridge dam to mouth of fork creek,free,Deep River
35.54587545,-79.58613038,Coleridge dam to mouth of fork creek,free,Deep River
35.54277641,-79.58826542,Coleridge dam to mouth of fork creek,free,Deep River
35.54072487,-79.58913445,Coleridge dam to mouth of fork creek,free,Deep River
35.54006138,-79.58904862,Coleridge dam to mouth of fork creek,free,Deep River
35.5391709,-79.58839417,Coleridge dam to mouth of fork creek,free,Deep River
35.53772166,-79.58859801,Coleridge dam to mouth of fork creek,free,Deep River
35.53645574,-79.58850145,Coleridge dam to mouth of fork creek,free,Deep River
35.53511123,-79.58786845,Coleridge dam to mouth of fork creek,free,Deep River
35.53421196,-79.58677411,Coleridge dam to mouth of fork creek,free,Deep River
35.53377542,-79.58550811,Coleridge dam to mouth of fork creek,free,Deep River
35.53311187,-79.58349109,Coleridge dam to mouth of fork creek,free,Deep River
35.53186334,-79.58198905,Coleridge dam to mouth of fork creek,free,Deep River
35.53025491,-79.58123803,Coleridge dam to mouth of fork creek,free,Deep River
35.52925517,-79.58175302,Coleridge dam to mouth of fork creek,free,Deep River
35.5276355,-79.58191395,Coleridge dam to mouth of fork creek,free,Deep River
35.52584988,-79.58169401,Coleridge dam to mouth of fork creek,free,Deep River
35.52447026,-79.58157599,Coleridge dam to mouth of fork creek,free,Deep River
35.52315174,-79.58197832,Coleridge dam to mouth of fork creek,free,Deep River
35.52243135,-79.58282053,Coleridge dam to mouth of fork creek,free,Deep River
35.52170222,-79.5852828,Coleridge dam to mouth of fork creek,free,Deep River
35.52192489,-79.58742857,Coleridge dam to mouth of fork creek,free,Deep River
35.52263219,-79.58899498,Coleridge dam to mouth of fork creek,free,Deep River
35.5250291,-79.59295928,Coleridge dam to mouth of fork creek,free,Deep River
35.52583242,-79.59560931,Coleridge dam to mouth of fork creek,free,Deep River
35.5254002,-79.59685385,Coleridge dam to mouth of fork creek,free,Deep River
35.52448336,-79.59711134,Coleridge dam to mouth of fork creek,free,Deep River
35.52256233,-79.59734738,Coleridge dam to mouth of fork creek,free,Deep River
35.51973746,-79.59868312,Coleridge dam to mouth of fork creek,free,Deep River
35.51786435,-79.59903181,Coleridge dam to mouth of fork creek,free,Deep River
35.51772708,-79.59903717,Mouth of Fork Creek to High Falls pond,free,Deep River
35.51646958,-79.59809303,Mouth of Fork Creek to High Falls pond,free,Deep River
35.51605041,-79.59646225,Mouth of Fork Creek to High Falls pond,free,Deep River
